review,rating,date,bank,source
good,5,2025-08-26,CBE,Google Play Store
Still I have not face critical problems sometimes delay to open,4,2025-08-26,CBE,Google Play Store
excellent,5,2025-08-26,CBE,Google Play Store
ጤና ከድረ,5,2025-08-25,CBE,Google Play Store
The connection between bank and the app is lag relationship this must be corrected.,4,2025-08-25,CBE,Google Play Store
I have forgotten mobail banking password,5,2025-08-25,CBE,Google Play Store
nice app,5,2025-08-25,CBE,Google Play Store
Thank you,5,2025-08-25,CBE,Google Play Store
muktaar Abraahim,5,2025-08-25,CBE,Google Play Store
🤞Good One,5,2025-08-24,CBE,Google Play Store
why does it say change pin to 6 digits is that right?,4,2025-08-24,CBE,Google Play Store
One of the worst mobile banking apps in Ethiopia. You can't access your txn record for more than 2 weeks.,1,2025-08-24,CBE,Google Play Store
i like it and aprshat.,4,2025-08-23,CBE,Google Play Store
good,4,2025-08-23,CBE,Google Play Store
"The app has some issues I updated recently and now I am not able to send funds to my telebirr wallet, also we need to have a place we save our contacts where we usually send money to, after update I keep loosing all the important accounts.",4,2025-08-23,CBE,Google Play Store
best app and easy to use,5,2025-08-23,CBE,Google Play Store
doesn't work unless with data doesn't refresh fast other wise functions ok but after the update transferring to telebirr is not working,2,2025-08-23,CBE,Google Play Store
List of transactions can't load over months and years..,1,2025-08-23,CBE,Google Play Store
transferring money to telebirr is not working,1,2025-08-23,CBE,Google Play Store
I don't Like this app and there service fee is highl,5,2025-08-23,CBE,Google Play Store
አዲሱ Update ጥሩ አይደለም. Update ካደረግኩት በኋላ ከዚህ በፊት ስላላክባቸው የነበሩትን Save አድርጎ ይዞት የነበረውን ሁሉንም የሰዎች አካውንቶች አጥፍቶብኛል.,2,2025-08-23,CBE,Google Play Store
good,5,2025-08-23,CBE,Google Play Store
this application do not show over all transaction history,3,2025-08-23,CBE,Google Play Store
this app is very nice but statment history is very shiort atlist add 15 days,4,2025-08-23,CBE,Google Play Store
"This app stooped working after i updated it. It says change password and i did, but it doesn't open with the new password. I don't like it.",1,2025-08-23,CBE,Google Play Store
best and secured application,5,2025-08-23,CBE,Google Play Store
🙏👍,5,2025-11-29,Bank of America,Google Play Store
Very Good,5,2025-11-28,Bank of America,Google Play Store
goof,5,2025-11-28,Bank of America,Google Play Store
good!,5,2025-11-28,Bank of America,Google Play Store
good jop,5,2025-11-27,Bank of America,Google Play Store
bad exprience...it is so crushed,1,2025-11-27,Bank of America,Google Play Store
not user friendly at all it requires a huge connectivity and also lags many times 😑😑😑,1,2025-11-26,Bank of America,Google Play Store
ምንም የማይ ሰራ,1,2025-11-26,Bank of America,Google Play Store
very good,5,2025-11-25,Bank of America,Google Play Store
most of the time is not working properly,1,2025-11-25,Bank of America,Google Play Store
good service,5,2025-11-25,Bank of America,Google Play Store
not use for me,3,2025-11-23,Bank of America,Google Play Store
It keeps notifying me to disable developer options and quiet while I'm not enabled. always bring another type of problem with new updates.,1,2025-11-22,Bank of America,Google Play Store
waw,5,2025-11-21,Bank of America,Google Play Store
the lag is unbelievable when you need it the most this suks,1,2025-11-19,Bank of America,Google Play Store
I cant belive I could find the worst bank app ever .yet very simple to fix the problem and the company just ignored it. no body can do business with this kind of app.,1,2025-11-18,Bank of America,Google Play Store
it is a good app,5,2025-11-18,Bank of America,Google Play Store
it is not working at all,1,2025-11-15,Bank of America,Google Play Store
🥰🥰🥰🥰🥰 app is good but i was live in abroad and when i enter my otp code it didnt make me to write my code it the app want it self write thats not fair so please other wise i like it why,5,2025-11-15,Bank of America,Google Play Store
when trying to activate the app it keeps on loading on the security questions page. It has been two days,1,2025-11-13,Bank of America,Google Play Store
fast and simple,5,2025-11-11,Bank of America,Google Play Store
best of best,5,2025-11-10,Bank of America,Google Play Store
Worest Banking App Ever I seen. Fake App Bad Better to Leave,1,2025-11-10,Bank of America,Google Play Store
good,4,2025-11-10,Bank of America,Google Play Store
"I would like to share feedback regarding the application. It frequently experiences disruptions and does not function properly, often freezing or failing to load. This issue is affecting workflow and efficiency. Kindly review and address this problem to ensure smoother performance.",1,2025-11-08,Bank of America,Google Play Store
Meet you genuine.App I tried is not functional.Helping.welldoingwith BOA Ethiopia .fastandrelevant.morconnecting Digitalyworld.Digitalyworld. thanks.,5,2025-11-08,Bank of America,Google Play Store
best app,5,2025-11-08,Bank of America,Google Play Store
Best app,5,2025-11-07,Bank of America,Google Play Store
"Barely works, it always fails to connect",1,2025-11-07,Bank of America,Google Play Store
my fav app,5,2025-11-07,Bank of America,Google Play Store
this app launch time is so long also has dozen bugs in addition it's has been long time get update,1,2025-11-05,Bank of America,Google Play Store
very nice,5,2025-11-04,Bank of America,Google Play Store
"Your application is very irritating to use, some functionality doesn't even work like on the card management. You need to do better than this and it good idea to reference other banking applications.",3,2025-11-04,Bank of America,Google Play Store
I like,5,2025-11-02,Bank of America,Google Play Store
ወይ አሻሽሉትና እንጠቀምበት ያለያ ብታጠፉት ይሻላል። በቃ ምንም ነገር አይሰራም መተግበሪያ አለን ብላችሁ እንዳታወሩ ለማንም የማይመከር ቀርፋፋና ተግባር የለሽ መተግበሪያ,1,2025-11-01,Bank of America,Google Play Store
i m sorry but it doesn't work for my android it is too slow but other bank are very fast please update,1,2025-10-30,Bank of America,Google Play Store
"the worst app ever,",1,2025-10-30,Bank of America,Google Play Store
better,5,2025-10-29,Bank of America,Google Play Store
"I kindly request that Bank of abyssinia address issues with its mobile app. It is very slow, has numerous problems, and frequently experiences downtime. The user experience is also poor. Thank you.",1,2025-10-28,Bank of America,Google Play Store
this app can't open? what is problem? please solve my problem?,1,2025-10-28,Bank of America,Google Play Store
kiyaa makonn,5,2025-10-27,Bank of America,Google Play Store
very very lazy app,1,2025-10-26,Bank of America,Google Play Store
telebirr remittance,5,2025-10-24,Bank of America,Google Play Store
The best bank in 🇪🇹,5,2025-10-23,Bank of America,Google Play Store
its good,5,2025-10-22,Bank of America,Google Play Store
the worst app in my financial experience.,1,2025-10-22,Bank of America,Google Play Store
good for mb appliciation,5,2025-10-21,Bank of America,Google Play Store
the worst bank ever. slow don't accept dual sim. they are very stupid and greedy,1,2025-10-20,Bank of America,Google Play Store
try to easy network,4,2025-10-17,Bank of America,Google Play Store
hussen hassen umer,5,2025-10-16,Bank of America,Google Play Store
"The app is not suitable and lacks a good UI design. As a large bank, you must update your app with a professional UI that is fast and appropriate.",2,2025-10-16,Bank of America,Google Play Store
an exceptional banking app.,5,2025-10-16,Bank of America,Google Play Store
alhamdulilah,5,2025-10-11,Bank of America,Google Play Store
poor,5,2025-10-11,Bank of America,Google Play Store
Best of best,5,2025-10-09,Bank of America,Google Play Store
from the last week updates the app is not working Please check the problems,1,2025-10-08,Bank of America,Google Play Store
It's always crushing,1,2025-10-08,Bank of America,Google Play Store
office branches have to improve their services please,4,2025-10-07,Bank of America,Google Play Store
♥️♥️,5,2025-10-05,Bank of America,Google Play Store
Why does it keep crashing? I can't even use this. BOA should do better. You have many customers and how to deal with this. I can't send money now.,1,2025-10-05,Bank of America,Google Play Store
it needs a timely update,5,2025-10-03,Bank of America,Google Play Store
"It does not show the name of the person who sent the money to request a receipt. This has become very difficult for us. When different people transfer the same amount to me from different banks, it is very difficult to identify the account or the name of the sender.",3,2025-10-01,Bank of America,Google Play Store
Like,5,2025-10-01,Bank of America,Google Play Store
I can't type my otp on it.,1,2025-10-01,Bank of America,Google Play Store
"most of bank apps in Ethiopia are linked with ethiopian phone number, I live in US permanently so when I open BoA account, I told them where I live and to link it with email address instead of phone # as ethio phone number is not working where I live, unfortunetly my fear appeared and now when I change my phone device, it send the code to the ethio number which is not with me now. so please when u develop bank apps consider the diaspora community to use ur apps",1,2025-10-01,Bank of America,Google Play Store
jaajja,4,2025-09-30,Bank of America,Google Play Store
I love this bank the best experience ever.,5,2025-09-28,Bank of America,Google Play Store
"Nothing has been improved, it doesn't work like the previous version.",1,2025-09-25,Bank of America,Google Play Store
easy and fast,5,2025-09-24,Bank of America,Google Play Store
Great,5,2025-09-20,Bank of America,Google Play Store
mobile banking,5,2025-09-19,Bank of America,Google Play Store
very good,5,2025-09-18,Bank of America,Google Play Store
😎,5,2025-09-18,Bank of America,Google Play Store
"need alot of connection, chooses device, very lug even when there is connection",1,2025-09-17,Bank of America,Google Play Store
On my ios it's perfect but on android it barley works and don't transfer and after a while it crushed and totally stopped working. Please fix the issue my beloved bank of abyssinia.,1,2025-09-15,Bank of America,Google Play Store
since the last update i can open the app crashes a lot and omg its being very slow opening and loading,2,2025-09-15,Bank of America,Google Play Store
none,5,2025-09-14,Bank of America,Google Play Store
good,2,2025-09-13,Bank of America,Google Play Store
good,5,2025-09-12,Bank of America,Google Play Store
very good app i ever used,5,2025-09-12,Bank of America,Google Play Store
its nice app especially the transaction limit is extended but We face that BoA m.banking app doesn't respond at the activation stage strictly at SMSNG mobile phone. please try this to make safe.,4,2025-09-11,Bank of America,Google Play Store
zedo,5,2025-09-11,Bank of America,Google Play Store
please open my mobile app,5,2025-09-10,Bank of America,Google Play Store
it doesn't open,1,2025-09-10,Bank of America,Google Play Store
Very Good,5,2025-09-09,Bank of America,Google Play Store
masha alla,5,2025-09-08,Bank of America,Google Play Store
Best banking transaction application in Ethiopia !,5,2025-09-05,Bank of America,Google Play Store
السلام عليكم ورحمة الله وبركاته ماشاء الله تبارك الرحمن هذا التطبيق ممتاز جدا,5,2025-09-04,Bank of America,Google Play Store
tamaam kamal,1,2025-09-04,Bank of America,Google Play Store
በጣም ሐሪፍ,5,2025-09-03,Bank of America,Google Play Store
great 👍,5,2025-09-02,Bank of America,Google Play Store
goof,4,2025-09-01,Bank of America,Google Play Store
absiniya banki,5,2025-08-29,Bank of America,Google Play Store
has issue after installation and i think it doesn't work with tecno common 30,1,2025-08-26,Bank of America,Google Play Store
One of the best in this business,5,2025-08-25,Bank of America,Google Play Store
Excellent,5,2025-08-20,Bank of America,Google Play Store
besat🥰,5,2025-08-19,Bank of America,Google Play Store
unlimited experience,5,2025-08-18,Bank of America,Google Play Store
"as bank, u should at least hire someone good at their job bc this a joke nowadays I can't even log in or even transfer without it crashing if u fix the app I will update this review I am counting on u boa update: so they atleast fixed it but as suggestion can u put password when in final step of sending money it will feel more secure that way",4,2025-08-17,Bank of America,Google Play Store
very nice mobile banking app my favourite,5,2025-08-16,Bank of America,Google Play Store
"it almost never boots up!!! and even if it did, it crashes immediately",1,2025-08-15,Bank of America,Google Play Store
best apps,5,2025-08-15,Bank of America,Google Play Store
the worst app ever to exist in a bank history,1,2025-08-15,Bank of America,Google Play Store
thank you,5,2025-08-14,Bank of America,Google Play Store
Best mobile app in the country,5,2025-08-14,Bank of America,Google Play Store
not fast,2,2025-08-12,Bank of America,Google Play Store
keeps freezing at the front page.,1,2025-08-10,Bank of America,Google Play Store
it is not working on redminote 11 pro+ pls fix it,1,2025-08-08,Bank of America,Google Play Store
abseniya bank app,5,2025-08-08,Bank of America,Google Play Store
good,5,2025-08-05,Bank of America,Google Play Store
yes goode app,5,2025-08-03,Bank of America,Google Play Store
Great App,5,2025-08-02,Bank of America,Google Play Store
1) Crashes repeatedly 2) Takes Century to Boot 3) Repeatedly requires Update which is very annoying. 4) It doesn't ask for Password for one step confirmation when transferring money. 5) Automatically stops music when the app is launched (it doesn't really matter just fyi) Overall this have to be the worst mobile banking app I have tried so far and should not be released with all these bugs & issues.,1,2025-08-02,Bank of America,Google Play Store
ረጀብነሱ,1,2025-07-31,Bank of America,Google Play Store
The Worst Mobile Banking App.,1,2025-07-31,Bank of America,Google Play Store
giod,5,2025-07-30,Bank of America,Google Play Store
best bank in ethiopia,5,2025-07-29,Bank of America,Google Play Store
waqayyoo,5,2025-07-28,Bank of America,Google Play Store
please is not working,2,2025-07-27,Bank of America,Google Play Store
nothing when I need to install the Apk it say that re-up date,5,2025-07-25,Bank of America,Google Play Store
I can log in from any where,5,2025-07-23,Bank of America,Google Play Store
😇,3,2025-07-21,Bank of America,Google Play Store
no proplem,5,2025-07-20,Bank of America,Google Play Store
👍👍👍,5,2025-07-20,Bank of America,Google Play Store
excellent app,5,2025-07-18,Bank of America,Google Play Store
good work,5,2025-07-15,Bank of America,Google Play Store
☹️,5,2025-07-15,Bank of America,Google Play Store
excellent,5,2025-07-14,Bank of America,Google Play Store
Great BoA,5,2025-07-14,Bank of America,Google Play Store
Good,5,2025-07-14,Bank of America,Google Play Store
Okay,4,2025-07-13,Bank of America,Google Play Store
not working,1,2025-07-12,Bank of America,Google Play Store
This App is Getting worse and worse with every update,2,2025-07-11,Bank of America,Google Play Store
ምርጥ ነው,1,2025-07-10,Bank of America,Google Play Store
nice,5,2025-07-10,Bank of America,Google Play Store
Best app,5,2025-07-08,Bank of America,Google Play Store
meku,5,2025-07-07,Bank of America,Google Play Store
nice,4,2025-07-04,Bank of America,Google Play Store
awasome app go a head,5,2025-07-04,Bank of America,Google Play Store
😎,5,2025-07-03,Bank of America,Google Play Store
it sucks as hell. it crashes most of the time and takes a long time to load .,1,2025-07-03,Bank of America,Google Play Store
"The App is nice and easy to use but after some time it crushed and said ""Error check your device connectivity"" please fix it",3,2025-07-02,Bank of America,Google Play Store
Easy and very nice app to load more than the previouse but in recent time some loading problem detected.,5,2025-07-01,Bank of America,Google Play Store
wow,5,2025-07-01,Bank of America,Google Play Store
"The worst MBA I have experienced, The app crush frequently and they take to long to fix the problem even more than a week.",1,2025-06-27,Bank of America,Google Play Store
amazing Banks App👌👌,3,2025-06-25,Bank of America,Google Play Store
goof,5,2025-06-25,Bank of America,Google Play Store
good App fore me,5,2025-06-25,Bank of America,Google Play Store
"very uninterested it's not working when the ""developer mode on"" i haven't off the developer options i preferred to uninstall your app .....",1,2025-06-24,Bank of America,Google Play Store
fantastic,5,2025-06-22,Bank of America,Google Play Store
👍,4,2025-06-21,Bank of America,Google Play Store
it's nice to use.,5,2025-06-21,Bank of America,Google Play Store
app doesn't start,1,2025-06-21,Bank of America,Google Play Store
Excellent application,5,2025-06-18,Bank of America,Google Play Store
its very bad app its very slow,1,2025-06-17,Bank of America,Google Play Store
ብዙዬ ሺዋየ በለጠ,1,2025-06-15,Bank of America,Google Play Store
good,1,2025-06-15,Bank of America,Google Play Store
Good job!,5,2025-06-13,Bank of America,Google Play Store
best financial app.,5,2025-06-12,Bank of America,Google Play Store
ቆንጆ ነው በርቱ,5,2025-06-11,Bank of America,Google Play Store
the worst app humans ever created,1,2025-06-09,Bank of America,Google Play Store
it's not working,3,2025-06-05,Bank of America,Google Play Store
"Hello, I’m facing a problem with the BOA Mobile app. Every time I enter my phone number and password, the app crashes and shows an error that says “BoaMobile closed because this app has a bug.” I tried updating, reinstalling, and clearing cache, but nothing worked. Please fix this bug in the next update. I really need access to my account. Thank you.",1,2025-06-03,Bank of America,Google Play Store
exceptional,5,2025-06-03,Bank of America,Google Play Store
BoA Mobile good bank,5,2025-06-02,Bank of America,Google Play Store
this is worest app 24/7 loading,1,2025-06-01,Bank of America,Google Play Store
BoA system is confartable,5,2025-06-01,Bank of America,Google Play Store
"this app, for me , is a waste of time. It doesn't work . I can't even long in, and it really piss me off. FIX THE PROBLEM",1,2025-05-27,Bank of America,Google Play Store
Good service.,3,2025-05-25,Bank of America,Google Play Store
the app crush frequently,1,2025-05-24,Bank of America,Google Play Store
good,5,2025-05-22,Bank of America,Google Play Store
You guys keeps getting worst,1,2025-05-22,Bank of America,Google Play Store
good,5,2025-05-21,Bank of America,Google Play Store
"This app is a joke. It crashes more than it works, takes forever to load, and half the features are just decorative at this point. Can’t log in, can’t transfer money, can’t even check my balance without it bugging out. To the developer: Are you actually trying to make this work, or is this some kind of social experiment to test our patience? Did you build this in your sleep? Because it definitely looks like it. If this is your idea of a functional app, maybe consider a different career path🙏",1,2025-05-21,Bank of America,Google Play Store
BoA,2,2025-05-20,Bank of America,Google Play Store
good,5,2025-05-20,Bank of America,Google Play Store
but not opening on android,4,2025-05-19,Bank of America,Google Play Store
Worst App ever. Totally unreliable. And it didn't work at all for the last 4 months.,1,2025-05-18,Bank of America,Google Play Store
amazing,5,2025-05-18,Bank of America,Google Play Store
excellent,5,2025-05-15,Bank of America,Google Play Store
"this app does no work on Samsung a51, it just gives a preview of the logo",1,2025-05-11,Bank of America,Google Play Store
nice,5,2025-05-10,Bank of America,Google Play Store
"i entered incorrect security question by mistake boa app lock pin forever, why is there no other options? ?? i contacted different branchs more then 4times but they didn't able to solve this issue .",5,2025-05-10,Bank of America,Google Play Store
Best app,5,2025-05-09,Bank of America,Google Play Store
liking this application good 👍,5,2025-05-07,Bank of America,Google Play Store
"This app future is good, but there is problems with apps to reset and activate it, which is difficult even to the branch staffs, and it takes too long times to active at the branch plus most of the time high expected failure of activation after process at the counter and OTP sent not work",1,2025-05-06,Bank of America,Google Play Store
good,5,2025-05-06,Bank of America,Google Play Store
good,5,2025-05-02,Bank of America,Google Play Store
good,4,2025-04-30,Bank of America,Google Play Store
good,4,2025-04-30,Bank of America,Google Play Store
wow,5,2025-04-28,Bank of America,Google Play Store
it's really good 👍,5,2025-04-23,Bank of America,Google Play Store
Bad app . it stuck when you open and noting WORKS.,1,2025-04-23,Bank of America,Google Play Store
"the app isn't working after it asked me the password it starts loading, but it doesn't open",3,2025-04-20,Bank of America,Google Play Store
Best,2,2025-04-19,Bank of America,Google Play Store
It keeps showing this pop up to turn off developer options even tho it's off! I had to turn on and then off to make it work! This is a horrible experience and needs a fix asap! Plus kinda slow.,1,2025-04-19,Bank of America,Google Play Store
yideg,1,2025-04-18,Bank of America,Google Play Store
great boa,5,2025-04-10,Bank of America,Google Play Store
Best,5,2025-04-10,Bank of America,Google Play Store
boa of mobile backing,5,2025-04-09,Bank of America,Google Play Store
nice,5,2025-04-09,Bank of America,Google Play Store
faster bank of Abissinya,5,2025-04-08,Bank of America,Google Play Store
i would have given it a lower if it was possible because it crush so much and it take the bank so long to fix the bug,1,2025-04-08,Bank of America,Google Play Store
it just doesn't work...so frustrating,1,2025-04-07,Bank of America,Google Play Store
like,5,2025-04-06,Bank of America,Google Play Store
it's not work correctly... you must have update it,1,2025-04-06,Bank of America,Google Play Store
"the app gets a considerable improvements like language , QR scanner and unlimited transfers survice. but BOA Please do alot on its fastness and convenient when we login and making a transactions.",5,2025-04-04,Bank of America,Google Play Store
after i typed in my password it says successfully logged out ...and goes back to the first page,2,2025-04-04,Bank of America,Google Play Store
good but they don't update enough don't add new things,3,2025-04-04,Bank of America,Google Play Store
very good,5,2025-04-03,Bank of America,Google Play Store
thank you,5,2025-04-02,Bank of America,Google Play Store
it doesn't work period z slowest mobile banking ever i would rather use *815#,1,2025-04-01,Bank of America,Google Play Store
"after activated the application it not allowed to sign , automatically it is turn off In my phone, why ?",1,2025-03-31,Bank of America,Google Play Store
good application,5,2025-03-30,Bank of America,Google Play Store
this version is not working for me I cannot even buy card. I cannot send money,1,2025-03-30,Bank of America,Google Play Store
"It can't actively on initialization, it says incorrect OTP getting the exact OTP",1,2025-03-29,Bank of America,Google Play Store
always problematic hardly works,1,2025-03-26,Bank of America,Google Play Store
considering the fact the bank is huge this app really bad you could do better,1,2025-03-25,Bank of America,Google Play Store
best app,5,2025-03-25,Bank of America,Google Play Store
very good,5,2025-03-25,Bank of America,Google Play Store
"worst app and Bank ever u be ashamed, scammer",1,2025-03-24,Bank of America,Google Play Store
great BoA,5,2025-03-22,Bank of America,Google Play Store
best,5,2025-03-21,Bank of America,Google Play Store
i have went to the bank so many times because i couldn't make any transaction i can only see my balance nothing else so what is the point of having mobile banking if i can't make any transaction with it please work in that,1,2025-03-21,Bank of America,Google Play Store
good,5,2025-03-21,Bank of America,Google Play Store
good,5,2025-03-19,Bank of America,Google Play Store
there is no speed,1,2025-03-19,Bank of America,Google Play Store
"For anyone who wants to download it, just don't!!!",1,2025-03-19,Bank of America,Google Play Store
wonderful,5,2025-03-19,Bank of America,Google Play Store
all worck,5,2025-03-19,Bank of America,Google Play Store
Loved it,5,2025-03-14,Bank of America,Google Play Store
Wow,1,2025-03-14,Bank of America,Google Play Store
"Edit: New bug, app not letting me type in my otp codes. Shameful Why does this app not allow me to use it while having developer options on? Did y'all consider that I might, perhaps, be an actual developer? Why am I expected to toggle the option on and off just to bank (restarting my phone when I do)? Why is the message labled as somthing that will ""smoothen"" the experience? This is like the most ""security consultant"" thing to implement in an app. Please invest in actual security, not this mess.",1,2025-03-12,Bank of America,Google Play Store
Improved to be the best,5,2025-03-11,Bank of America,Google Play Store
BoA,5,2025-03-11,Bank of America,Google Play Store
"Decent, but there problems sometimes it says error When i transfer money but infact it transferred because of this bug i transferred 2 times instead of 1 and also we can't transfer money to others telebirr acc we only can to our self BOE Dev fix this !!!",3,2025-03-11,Bank of America,Google Play Store
BoA Greqt Ethiopian bank.,5,2025-03-11,Bank of America,Google Play Store
"The bug is still there,the app crashes every time i try to log in, especially in old phones like my Galaxy A32",1,2025-03-10,Bank of America,Google Play Store
Almost better compared to cbe where it is not qualified for,4,2025-03-09,Bank of America,Google Play Store
what awesome apps. it is very simple to use and more much important apps.,5,2025-03-09,Bank of America,Google Play Store
Wonderfull app,5,2025-03-08,Bank of America,Google Play Store
i can't use this app why?,5,2025-03-07,Bank of America,Google Play Store
Worst mobile banking app I ever experienced I was blaming other apps but comparing with this they're too much better!!!! It clashes it takes much longer time to login while loading in short it's a complete of trash,1,2025-03-06,Bank of America,Google Play Store
Wow,4,2025-03-05,Bank of America,Google Play Store
bro the worst app made by human kind!! as a software engineer it make me so sad seeing enterprise as big as BOA make apps like this. it is a disgrace for our country!!,1,2025-03-05,Bank of America,Google Play Store
AGA B Girja Miss language of admin Afaan oromo & other Itoophiyaa languages,1,2025-03-04,Bank of America,Google Play Store
Good app,5,2025-03-03,Bank of America,Google Play Store
"I downloaded the app for the first time while reading other customers reviews and as soon as i installed and opened the app it closes back automatically, what unserious bank, now i uninstalled the app immediately",1,2025-03-03,Bank of America,Google Play Store
It has good features but sometimes it doesn't work...0,1,2025-03-02,Bank of America,Google Play Store
Very poor proformance,1,2025-03-01,Bank of America,Google Play Store
It's not opening. Really frustrating,1,2025-03-01,Bank of America,Google Play Store
Verry Amazing App from all IB,5,2025-03-01,Bank of America,Google Play Store
Not working on this days,1,2025-02-26,Bank of America,Google Play Store
Thank you BoA,5,2025-02-23,Bank of America,Google Play Store
best banking app in the wworld,5,2025-02-22,Bank of America,Google Play Store
Nice app and it's easy to use,5,2025-02-21,Bank of America,Google Play Store
"please add language in the apps setting(amharic afan oromo, tigniya,and others) sometimes bank to bank transfer is not available through time and even if if it is available not reachable…it is serious issue!",1,2025-02-15,Bank of America,Google Play Store
This is help full i like ittttt,5,2025-02-14,Bank of America,Google Play Store
The is not functional at all?,2,2025-02-12,Bank of America,Google Play Store
Best bank,5,2025-02-08,Bank of America,Google Play Store
Make it easy and convienient to use and perfect for all to high prefrence and choice.,3,2025-02-07,Bank of America,Google Play Store
good,5,2025-02-05,Bank of America,Google Play Store
🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹👍👍👍👍👍👍👍,5,2025-02-04,Bank of America,Google Play Store
I have been using this app for two years.It is amazing.,5,2025-02-01,Bank of America,Google Play Store
Good 👍,5,2025-01-31,Bank of America,Google Play Store
Sad experience,1,2025-01-30,Bank of America,Google Play Store
Always do update and that is annoying,3,2025-01-27,Bank of America,Google Play Store
"Best app, somehow waiting a few minutes",5,2025-01-23,Bank of America,Google Play Store
I can't dijitalize my atm in the apollo app on my phone,1,2025-01-22,Bank of America,Google Play Store
Whenever I try to sign in app close please fixed it out,2,2025-01-21,Bank of America,Google Play Store
Beter,5,2025-01-21,Bank of America,Google Play Store
Boa,4,2025-01-18,Bank of America,Google Play Store
በጣም የሚያስጠላ አፕ በጣም የወረደ ዜሮ ነው የምሰጠው ዘሮ It's not App it's very slow ehhhh. Why don't you upgrade the app???? It's always zero,1,2025-01-18,Bank of America,Google Play Store
Aadan Axmed Barkhadle,5,2025-01-17,Bank of America,Google Play Store
😡😡😡🤬🤬🤬,1,2025-01-16,Bank of America,Google Play Store
Horrible customer service and app crashes Horrible!!,1,2025-01-15,Bank of America,Google Play Store
I love it,5,2025-01-14,Bank of America,Google Play Store
Best,5,2025-01-14,Bank of America,Google Play Store
It keeps asking me to turn off developer mode even when dev mode is off. Couldn't use it.,1,2025-01-13,Bank of America,Google Play Store
Good🙏,5,2025-01-12,Bank of America,Google Play Store
Like to much,5,2025-01-11,Bank of America,Google Play Store
Thank you,5,2025-01-10,Bank of America,Google Play Store
Perfect,5,2025-01-09,Bank of America,Google Play Store
The best of best,5,2025-01-09,Bank of America,Google Play Store
I was using this app for long time it amazing user friendly UI but the i can't found for get pin button in the app,3,2025-01-07,Bank of America,Google Play Store
Boa,5,2025-01-06,Bank of America,Google Play Store
Great 👍,5,2025-01-04,Bank of America,Google Play Store
Fast and suitable for the customers.,5,2025-01-04,Bank of America,Google Play Store
Good 👍,5,2025-01-03,Bank of America,Google Play Store
Good app and helpful,5,2025-01-03,Bank of America,Google Play Store
"I will give only one star, because it faced with multiple of problems. 1. The app is not as fast as the other banks App, for e.g like CBE 2. The App asks repeatedly to switch off developer options, even if it is switched off. 3. Bank of Abyssinia's services are interesting, but they ignored the issues on the App service. 4. Most customers gave a complain on the App, but no one accept their complain to fix the issue. 5. Lastly, I will not recommend the App unless the issue has been solved ASAP!!",1,2025-01-03,Bank of America,Google Play Store
By assessing this you can tell Abyssinia bank has no idea what mobile banking is ?,1,2025-01-02,Bank of America,Google Play Store
It doesn't work at all.,2,2025-01-02,Bank of America,Google Play Store
this app is not available,1,2025-01-02,Bank of America,Google Play Store
Best,5,2025-01-01,Bank of America,Google Play Store
Wow what amazing,5,2024-12-30,Bank of America,Google Play Store
love it,5,2024-12-30,Bank of America,Google Play Store
በጣም መሻሻል አለበት....... ለ ባንኩ ማይመጥን መተግበርያ ነው ::,2,2024-12-30,Bank of America,Google Play Store
Lemn embi yilal??,5,2024-12-30,Bank of America,Google Play Store
Good,5,2024-12-30,Bank of America,Google Play Store
It's useless app downgraded.,1,2024-12-29,Bank of America,Google Play Store
Why is not letting me access my account. The whole point of this app is for me to gey access to my account without physically being at the bank. I would give it a zero but a one will suffice to get my point accross.,1,2024-12-27,Bank of America,Google Play Store
Nice,5,2024-12-26,Bank of America,Google Play Store
When are you going to get rid of this and have a real app that works? By far the worst mobile banking app.,1,2024-12-24,Bank of America,Google Play Store
አይሰራም ሼም ነው፤,1,2024-12-23,Bank of America,Google Play Store
Not that much bad,3,2024-12-22,Bank of America,Google Play Store
Fine,5,2024-12-21,Bank of America,Google Play Store
The dirtiest application ever seen...,1,2024-12-20,Bank of America,Google Play Store
Nic ap,5,2024-12-19,Bank of America,Google Play Store
The forest app ever,1,2024-12-19,Bank of America,Google Play Store
"I love BoA more than anyone but they are cursed when it comed to mobile banking. Even though this ine is hetter it still s*cks! It will ask me to turn off developer options other wise it won't work! I use CBE, Awash birr, tekebirr, Dashen bank and others but non of them asked me this, why only BoA? Please improve your mobile banking, be competitive!",1,2024-12-19,Bank of America,Google Play Store
Bank of abissena,1,2024-12-17,Bank of America,Google Play Store
Good,3,2024-12-16,Bank of America,Google Play Store
"Easy and sooo simple to use it, also its easy to stole someones money using the app",3,2024-12-16,Bank of America,Google Play Store
GOOD,5,2024-12-15,Bank of America,Google Play Store
The worst banking app ever. Never works!,1,2024-12-14,Bank of America,Google Play Store
Poorly functioning app,3,2024-12-13,Bank of America,Google Play Store
Very nice,5,2024-12-13,Bank of America,Google Play Store
Your system is the worst you should do better😡😡😡😡😡😡,2,2024-12-11,Bank of America,Google Play Store
It has been a while since you guys started giving the mobile app service but still couldn't get it to work. I'm sure you know that it doesn't work already but not sure if you're lazy or incompetent to fix it. You are losing business because of this. Complacency will have consequences.,1,2024-12-10,Bank of America,Google Play Store
